customer_id,signup_date,order_amount,status
CUST_000,2025-01-01,100.5,SUCCESS
CUST_001,2025-01-02,12000.0,SUCCESS
CUST_002,2025-01-03,250.0,SUCCESS
CUST_003,2025-01-04,100.5,PENDING
CUST_004,2025-01-05,100.5,SUCCESS
CUST_005,2025-01-06,100.5,SUCCESS
CUST_006,2025-01-07,100.5,INVALID_STATUS
CUST_007,2025-01-08,250.0,PENDING
CUST_008,2025-01-09,100.5,INVALID_STATUS
CUST_009,2025-01-10,250.0,SUCCESS
CUST_010,2025-01-11,100.5,SUCCESS
CUST_011,2025-01-12,12000.0,SUCCESS
CUST_012,2025-01-13,250.0,INVALID_STATUS
CUST_013,2025-01-14,100.5,PENDING
CUST_014,2025-01-15,100.5,SUCCESS
CUST_015,2025-01-16,100.5,SUCCESS
CUST_016,2025-01-17,100.5,SUCCESS
CUST_017,2025-01-18,100.5,PENDING
CUST_018,2025-01-19,100.5,UNKNOWN
CUST_019,2025-01-20,100.5,SUCCESS
CUST_020,2025-01-21,100.5,SUCCESS
CUST_021,2025-01-22,100.5,SUCCESS
CUST_022,2025-01-23,100.5,UNKNOWN
CUST_023,2025-01-24,100.5,PENDING
CUST_024,2025-01-25,100.5,PENDING
CUST_025,2025-01-26,250.0,SUCCESS
CUST_026,2025-01-27,100.5,SUCCESS
CUST_027,2025-01-28,100.5,SUCCESS
CUST_028,2025-01-29,100.5,SUCCESS
CUST_029,2025-01-30,100.5,PENDING
CUST_030,2025-01-31,100.5,PENDING
CUST_031,2025-02-01,100.5,UNKNOWN
CUST_032,2025-02-02,100.5,UNKNOWN
CUST_033,2025-02-03,,SUCCESS
CUST_034,2025-02-04,12000.0,SUCCESS
CUST_035,2025-02-05,250.0,INVALID_STATUS
CUST_036,2025-02-06,100.5,PENDING
CUST_037,2025-02-07,100.5,SUCCESS
CUST_038,2025-02-08,100.5,SUCCESS
CUST_039,2025-02-09,100.5,SUCCESS
CUST_040,2025-02-10,100.5,UNKNOWN
CUST_041,2025-02-11,100.5,SUCCESS
CUST_042,2025-02-12,100.5,SUCCESS
CUST_043,2025-02-13,,SUCCESS
CUST_044,2025-02-14,100.5,SUCCESS
CUST_045,2025-02-15,100.5,SUCCESS
CUST_046,2025-02-16,100.5,SUCCESS
CUST_047,2025-02-17,100.5,SUCCESS
CUST_048,2025-02-18,100.5,SUCCESS
