transaction_id,customer_id,amount,transaction_date,status
TXN_00000,4174,40.102127104200704,2026-09-01 00:00:00,SUCCESS
TXN_00001,4507,9.00625420857304,2026-09-01 00:01:00,SUCCESS
TXN_00002,1860,26.48811621400667,2026-09-01 00:02:00,FAILED
TXN_00003,2294,75.16439926260361,2026-09-01 00:03:00,SUCCESS
TXN_00004,2130,32.73192083396248,2026-09-01 00:04:00,PENDING
TXN_00005,2095,210.94796504157785,2026-09-01 00:05:00,SUCCESS
TXN_00006,4772,23.63949295411745,2026-09-01 00:06:00,SUCCESS
TXN_00007,4092,69.23044910368336,2026-09-01 00:07:00,SUCCESS
TXN_00008,2638,24.960455291565076,2026-09-01 00:08:00,SUCCESS
TXN_00009,3169,88.35262694623285,2026-09-01 00:09:00,SUCCESS
TXN_00010,1466,,2026-09-01 00:10:00,SUCCESS
TXN_00011,2238,,2026-09-01 00:11:00,SUCCESS
TXN_00012,1330,,2026-09-01 00:12:00,SUCCESS
TXN_00013,2482,,2026-09-01 00:13:00,SUCCESS
TXN_00014,3135,,2026-09-01 00:14:00,FAILED
TXN_00015,4444,,2026-09-01 00:15:00,SUCCESS
TXN_00016,4171,58.83643218748671,2026-09-01 00:16:00,SUCCESS
TXN_00017,3919,38.21565002696231,2026-09-01 00:17:00,SUCCESS
TXN_00018,4735,69.2968711354936,2026-09-01 00:18:00,SUCCESS
TXN_00019,1130,122.18770879450582,2026-09-01 00:19:00,SUCCESS
TXN_00020,2685,43.99185712692172,2026-09-01 00:20:00,PENDING
TXN_00021,4380,64.75341533189764,2026-09-01 00:21:00,SUCCESS
TXN_00022,1769,70.75140281354251,2026-09-01 00:22:00,SUCCESS
TXN_00023,3391,23.72874703140095,2026-09-01 00:23:00,SUCCESS
TXN_00024,2515,13.79326381916583,2026-09-01 00:24:00,FAILED
TXN_00025,4485,11.473509147133749,2026-09-01 00:25:00,SUCCESS
TXN_00026,3853,14.48035884796759,2026-09-01 00:26:00,SUCCESS
TXN_00027,3433,16.06068786999583,2026-09-01 00:27:00,SUCCESS
TXN_00028,2215,11.61095858554039,2026-09-01 00:28:00,SUCCESS
TXN_00029,1955,105.27723109207325,2026-09-01 00:29:00,SUCCESS
TXN_00030,3324,70.73451321701324,2026-09-01 00:30:00,FAILED
TXN_00031,2184,2.4015871512125537,2026-09-01 00:31:00,SUCCESS
TXN_00032,1459,15.644693928385411,2026-09-01 00:32:00,SUCCESS
TXN_00033,4385,1.1217262286123622,2026-09-01 00:33:00,SUCCESS
TXN_00034,1021,34.47421352525473,2026-09-01 00:34:00,SUCCESS
TXN_00035,3300,32.333288431550564,2026-09-01 00:35:00,SUCCESS
TXN_00036,1747,89.00285748113352,2026-09-01 00:36:00,SUCCESS
TXN_00037,3904,18.392373366018855,2026-09-01 00:37:00,SUCCESS
TXN_00038,4632,84.74590544479399,2026-09-01 00:38:00,SUCCESS
TXN_00039,1474,172.0599941026969,2026-09-01 00:39:00,SUCCESS
TXN_00040,2082,4.6281501228042785,2026-09-01 00:40:00,SUCCESS
TXN_00041,3558,78.4670905382281,2026-09-01 00:41:00,SUCCESS
TXN_00042,4753,44.57452785559081,2026-09-01 00:42:00,SUCCESS
TXN_00043,3047,32.70074347132298,2026-09-01 00:43:00,SUCCESS
TXN_00044,4547,27.282567934328632,2026-09-01 00:44:00,SUCCESS
TXN_00045,3747,76.7787740796594,2026-09-01 00:45:00,FAILED
TXN_00046,1975,50.993940541074224,2026-09-01 00:46:00,SUCCESS
TXN_00047,2806,81.74924054297287,2026-09-01 00:47:00,SUCCESS
TXN_00048,1189,116.73014101423283,2026-09-01 00:48:00,SUCCESS
TXN_00049,4005,48.02045351456432,2026-09-01 00:49:00,SUCCESS
TXN_00050,3734,99999.0,2026-09-01 00:50:00,SUCCESS
TXN_00051,4005,46.83587851406838,2026-09-01 00:51:00,FAILED
TXN_00052,1562,50.61865470979772,2026-09-01 00:52:00,SUCCESS
TXN_00053,2899,40.46333599070031,2026-09-01 00:53:00,SUCCESS
TXN_00054,4638,4.770624259690304,2026-09-01 00:54:00,SUCCESS
TXN_00055,2267,64.80386238579517,2026-09-01 00:55:00,SUCCESS
TXN_00056,3879,39.64244320475297,2026-09-01 00:56:00,SUCCESS
TXN_00057,2528,29.974686565724568,2026-09-01 00:57:00,SUCCESS
TXN_00058,4202,120.65978967435991,2026-09-01 00:58:00,SUCCESS
TXN_00059,4556,17.68820576440974,2026-09-01 00:59:00,FAILED
TXN_00060,4890,37.07511095209075,2026-09-01 01:00:00,SUCCESS
TXN_00061,1646,59.807155409859256,2026-09-01 01:01:00,SUCCESS
TXN_00062,3068,79.59752946197078,2026-09-01 01:02:00,SUCCESS
TXN_00063,3888,30.748862775201008,2026-09-01 01:03:00,SUCCESS
TXN_00064,3214,92.28694947313367,2026-09-01 01:04:00,SUCCESS
TXN_00065,2297,73.24907668232589,2026-09-01 01:05:00,SUCCESS
TXN_00066,3435,3.4265762810875096,2026-09-01 01:06:00,SUCCESS
TXN_00067,1600,2.34730975254089,2026-09-01 01:07:00,SUCCESS
TXN_00068,3363,48.485324963910834,2026-09-01 01:08:00,SUCCESS
TXN_00069,3061,21.340572044483093,2026-09-01 01:09:00,SUCCESS
TXN_00070,1241,11.731133695540526,2026-09-01 01:10:00,SUCCESS
TXN_00071,3041,43.33337127555405,2026-09-01 01:11:00,SUCCESS
TXN_00072,3824,20.894337699399067,2026-09-01 01:12:00,SUCCESS
TXN_00073,4417,38.52986606941108,2026-09-01 01:13:00,SUCCESS
TXN_00074,3612,30.820341427913267,2026-09-01 01:14:00,SUCCESS
TXN_00075,3945,43.94566586959085,2026-09-01 01:15:00,SUCCESS
TXN_00076,2363,25.566328203305165,2026-09-01 01:16:00,SUCCESS
TXN_00077,3139,59.81140588198578,2026-09-01 01:17:00,SUCCESS
TXN_00078,2390,9.926649076981105,2026-09-01 01:18:00,SUCCESS
TXN_00079,4003,59.61892497777347,2026-09-01 01:19:00,SUCCESS
TXN_00080,2478,26.522616547240972,2026-09-01 01:20:00,SUCCESS
TXN_00081,4499,103.6998613862228,2026-09-01 01:21:00,SUCCESS
TXN_00082,3556,36.204660879357824,2026-09-01 01:22:00,FAILED
TXN_00083,1775,180.80068988165175,2026-09-01 01:23:00,SUCCESS
TXN_00084,1034,46.05704820546034,2026-09-01 01:24:00,SUCCESS
TXN_00085,3253,12.67041375070376,2026-09-01 01:25:00,SUCCESS
TXN_00086,4152,86.23981111826595,2026-09-01 01:26:00,SUCCESS
TXN_00087,2955,21.16231003257693,2026-09-01 01:27:00,SUCCESS
TXN_00088,2585,21.356343033287633,2026-09-01 01:28:00,SUCCESS
TXN_00089,4943,1.616071836711022,2026-09-01 01:29:00,SUCCESS
TXN_00090,4459,39.78284475936219,2026-09-01 01:30:00,SUCCESS
TXN_00091,4073,38.22394321821359,2026-09-01 01:31:00,SUCCESS
TXN_00092,2021,22.00216648925316,2026-09-01 01:32:00,SUCCESS
TXN_00093,4461,112.31839691193866,2026-09-01 01:33:00,SUCCESS
TXN_00094,3613,6.89122392577856,2026-09-01 01:34:00,SUCCESS
TXN_00095,2129,20.031305247849573,2026-09-01 01:35:00,SUCCESS
TXN_00096,4843,19.399639449497258,2026-09-01 01:36:00,SUCCESS
TXN_00097,4893,4.841549024365014,2026-09-01 01:37:00,SUCCESS
TXN_00098,2500,32.80657888769475,2026-09-01 01:38:00,SUCCESS
TXN_00099,1702,58.20311599060999,2026-09-01 01:39:00,SUCCESS
TXN_00100,3449,35.8368639457221,2026-09-01 01:40:00,INVALID_STATUS
